 INFO  Accepting connections at http://localhost:4010
 HTTP  15/08/2026 4:05:41 pm ::1 GET /
 HTTP  15/08/2026 4:05:41 pm ::1 Returned 200 in 77 ms
 HTTP  15/08/2026 4:05:42 pm ::1 GET /favicon.ico
 HTTP  15/08/2026 4:05:42 pm ::1 Returned 404 in 11 ms
 HTTP  15/08/2026 4:06:08 pm 127.0.0.1 GET /PrimeCart%20Dashboard.dc.html
 HTTP  15/08/2026 4:06:08 pm 127.0.0.1 Returned 301 in 3 ms
 HTTP  15/08/2026 4:06:08 pm 127.0.0.1 GET /PrimeCart%20Dashboard.dc
 HTTP  15/08/2026 4:06:08 pm 127.0.0.1 Returned 200 in 10 ms
 HTTP  15/08/2026 4:06:08 pm 127.0.0.1 GET /support.js
 HTTP  15/08/2026 4:06:08 pm 127.0.0.1 Returned 200 in 6 ms
 HTTP  15/08/2026 4:06:08 pm 127.0.0.1 GET /_ds/nocturne-9085b916-1818-4662-afe0-d0f74d8dde74/styles.css
 HTTP  15/08/2026 4:06:08 pm ::1 GET /_ds/nocturne-9085b916-1818-4662-afe0-d0f74d8dde74/_ds_bundle.js
 HTTP  15/08/2026 4:06:08 pm ::1 GET /support.js
 HTTP  15/08/2026 4:06:08 pm 127.0.0.1 Returned 200 in 22 ms
 HTTP  15/08/2026 4:06:08 pm ::1 Returned 200 in 4 ms
 HTTP  15/08/2026 4:06:08 pm ::1 Returned 200 in 20 ms
 HTTP  15/08/2026 4:06:08 pm ::1 GET /_ds/nocturne-9085b916-1818-4662-afe0-d0f74d8dde74/_ds_bundle.js
 HTTP  15/08/2026 4:06:08 pm ::1 Returned 200 in 3 ms
 HTTP  15/08/2026 4:06:09 pm 127.0.0.1 GET /PrimeCart%20Dashboard.dc
 HTTP  15/08/2026 4:06:09 pm 127.0.0.1 Returned 304 in 4 ms
